2010-05-27 12:39:41 Notice: Notice (8): session_start(): ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/estoque-cake/cake/libs/cake_session.php, line 589]
2010-06-06 15:59:56 Notice: Notice (8): Undefined variable: NOME in [/var/www/estoque-cake/app/views/layouts/default.ctp, line 30]
2010-06-06 16:00:06 Notice: Notice (8): Undefined variable: NOME in [/var/www/estoque-cake/app/views/layouts/default.ctp, line 30]
2010-06-06 16:00:31 Notice: Notice (8): Undefined variable: NOME in [/var/www/estoque-cake/app/views/layouts/default.ctp, line 30]
2010-06-06 16:00:37 Notice: Notice (8): Undefined variable: NOME in [/var/www/estoque-cake/app/views/layouts/default.ctp, line 30]
2010-06-07 14:21:14 Notice: Notice (8): Undefined variable: product in [/var/www/estoque-cake/app/views/products_sales/add_success.ctp, line 3]
2010-06-07 14:21:14 Notice: Notice (8): Undefined variable: product in [/var/www/estoque-cake/app/views/products_sales/add_success.ctp, line 3]
2010-06-07 14:21:14 Notice: Notice (8): Undefined variable: product in [/var/www/estoque-cake/app/views/products_sales/add_success.ctp, line 3]
2010-06-07 14:21:22 Notice: Notice (8): Undefined variable: product in [/var/www/estoque-cake/app/views/products_sales/add_success.ctp, line 3]
2010-06-07 14:21:22 Notice: Notice (8): Undefined variable: product in [/var/www/estoque-cake/app/views/products_sales/add_success.ctp, line 3]
2010-06-07 14:21:22 Notice: Notice (8): Undefined variable: product in [/var/www/estoque-cake/app/views/products_sales/add_success.ctp, line 3]
2010-06-12 12:06:35 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/estoque-cake/cake/libs/cake_session.php, line 589]
2010-06-13 16:51:47 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/var/www/estoque-cake/cake/libs/cake_session.php, line 589]
